"geneName","LFC","FDR"
"CADPS2","4.358","2.217e-171"
"RP11-649A16.1","4.091","6.677e-102"
"CHN2","3.637","2.231e-90"
"ZFPM2","3.304","1.089e-81"
"CDH18","2.990","8.437e-66"
"CA10","3.174","2.535e-63"
"KCND2","2.803","4.605e-57"
"RIT2","3.182","4.668e-57"
"CAMK4","2.803","9.844e-56"
"ETV1","3.135","9.013e-54"
"NFIA","2.712","2.096e-50"
"UNC13C","2.806","1.389e-49"
"SNAP25","2.416","3.753e-47"
"ZBTB20","2.741","5.475e-42"
"TRPM3","2.694","1.100e-39"
"ZIC1","2.883","3.211e-39"
"ZNF385D","2.527","4.792e-39"
"PKIB","2.773","2.228e-37"
"FSTL5","2.302","5.831e-37"
"RALYL","2.230","9.881e-37"
"ZNF521","2.641","6.441e-32"
"PDE1A","2.191","1.240e-31"
"RIMS1","2.081","2.227e-31"
"SH3GL2","2.434","2.697e-31"
"LHFP","2.474","4.868e-31"
"NRG3","-3.363","8.110e-31"
"CRTAM","2.561","4.777e-30"
"AC007392.3","2.546","1.871e-29"
"CSMD1","-3.407","1.513e-27"
"TUBB4A","2.377","2.297e-27"
"CNTN5","-4.255","3.792e-25"
"MSRA","1.897","9.856e-25"
"CNTNAP2","-2.200","8.860e-24"
"GALNT13","1.985","1.184e-23"
"TIAM1","1.931","1.394e-23"
"PLCB4","2.274","3.804e-23"
"ITM2B","1.854","3.782e-21"
"SNTG1","-3.289","4.271e-21"
"H3F3B","2.016","1.220e-20"
"TMEM178A","2.142","3.646e-20"
"LIMA1","2.278","3.829e-20"
"VSNL1","1.902","4.820e-20"
"FRMD4A","-2.782","5.440e-20"
"CNKSR2","1.842","9.643e-20"
"RP11-242P2.1","2.270","2.202e-19"
"BTG1","2.168","3.432e-19"
"TENM2","-3.266","2.869e-18"
"EPB41","2.149","5.563e-18"
"NRG1","1.894","1.047e-17"
"RPL7","1.974","2.593e-17"
"CBLB","2.058","4.604e-17"
"JMJD1C","1.566","7.071e-17"
"GRM5","-3.035","9.758e-17"
"STXBP5L","1.461","9.976e-17"
"ARPP21","1.653","1.321e-16"
"CHGB","2.111","1.811e-16"
"ADAMTS18","2.038","2.187e-16"
"ZBTB18","1.940","3.122e-16"
"LRRC7","-2.565","3.945e-16"
"GRIN2B","-2.852","6.880e-16"
"KCNQ5","-3.472","7.557e-16"
"MSR1","1.978","7.646e-16"
"HPCAL1","1.974","1.889e-15"
"GABRA6","2.044","2.136e-15"
"PSD3","1.808","2.265e-15"
"SPHKAP","1.925","3.016e-15"
"PLCB1","-2.336","3.534e-15"
"ROBO2","-2.983","3.615e-15"
"GRIA1","-2.669","4.341e-15"
"DIRAS2","1.965","7.387e-15"
"RP11-384F7.2","-2.853","8.485e-15"
"CCNI","1.824","3.148e-14"
"LRRTM4","-2.685","6.378e-14"
"DLG1","1.611","1.042e-13"
"MDGA2","-2.480","1.071e-13"
"FRMPD4","-2.639","1.517e-13"
"KCNC2","-2.720","1.856e-13"
"AGBL4","-2.702","3.370e-13"
"UNC5D","-2.895","5.148e-13"
"RELN","1.733","5.567e-13"
"KCTD16","-2.878","6.200e-13"
"GALNTL6","-3.237","6.911e-13"
"KALRN","-2.625","7.415e-13"
"FGF14","1.095","8.849e-13"
"MEIS1","1.798","9.647e-13"
"TLL1","1.736","1.453e-12"
"PDE3B","1.735","1.625e-12"
"CCDC175","1.655","1.798e-12"
"ADARB2","-2.998","2.034e-12"
"MEF2C","-2.386","2.076e-12"
"STMN2","1.760","2.364e-12"
"ATRNL1","-2.657","2.625e-12"
"CNTN1","1.329","2.798e-12"
"PDE5A","1.826","3.827e-12"
"CHD7","1.805","3.919e-12"
"FABP7","1.819","3.997e-12"
"RBFOX3","1.586","6.696e-12"
"KHDRBS2","-2.942","1.123e-11"
"SLIT3","1.715","1.357e-11"
"INADL","1.626","1.524e-11"
"PTCHD1-AS","1.686","1.675e-11"
"SLC8A1","-2.325","1.679e-11"
"GRIK1","-3.131","1.822e-11"
"NPAS3","-2.397","2.509e-11"
"SPOCK3","-2.530","3.370e-11"
"MAML3","1.709","3.655e-11"
"EBF1","1.558","4.114e-11"
"NOVA1","1.428","7.220e-11"
"MPP7","1.756","7.247e-11"
"LINC01266","1.583","7.708e-11"
"GRM7","-2.407","8.323e-11"
"PPP3CA","1.346","8.323e-11"
"CSMD3","-2.026","1.069e-10"
"RPS15","1.442","1.075e-10"
"KCNMA1","-2.460","1.119e-10"
"NCAM2","-2.291","1.119e-10"
"PAK3","-2.398","1.230e-10"
"NRXN1","1.027","1.244e-10"
"IL16","1.731","1.528e-10"
"HSP90AA1","1.393","2.093e-10"
"ARHGAP29","1.750","2.387e-10"
"CNTN6","1.726","2.656e-10"
"C4orf22","1.580","2.656e-10"
"ADGRL2","-2.370","2.940e-10"
"RP11-123O10.4","-2.788","3.283e-10"
"HS6ST3","-2.593","3.319e-10"
"NREP","1.698","3.681e-10"
"DGKB","-2.386","3.871e-10"
"SCN2A","1.387","3.871e-10"
"GRIP1","-2.281","4.451e-10"
"CADM1","1.320","4.468e-10"
"CPE","1.464","5.635e-10"
"SNAP25-AS1","1.689","5.636e-10"
"LSAMP-AS1","1.599","6.219e-10"
"KIAA1456","1.598","6.803e-10"
"STARD4-AS1","1.540","8.100e-10"
"ERC1","1.313","1.083e-9"
"MAML2","1.677","1.287e-9"
"PAX6","1.528","1.287e-9"
"IQCJ-SCHIP1","-2.349","1.804e-9"
"ST18","1.593","1.813e-9"
"CHSY3","-2.393","2.010e-9"
"TSPAN7","1.471","3.992e-9"
"INPP4B","-2.392","4.186e-9"
"GABRG3","-2.245","4.335e-9"
"DNM3","1.219","5.078e-9"
"CNTNAP5","-2.228","5.485e-9"
"FAM160A1","1.361","5.485e-9"
"RPL6","1.570","6.844e-9"
"ZEB2","-2.143","6.894e-9"
"THRB","-2.062","8.200e-9"
"CLVS2","1.539","8.521e-9"
"SHISA9","-2.286","9.735e-9"
"GRM4","1.568","1.062e-8"
"XKR4","-1.953","1.302e-8"
"TENM1","1.360","1.383e-8"
"GPRIN3","1.601","1.431e-8"
"YWHAQ","1.570","1.495e-8"
"ZNF385D-AS2","1.507","1.702e-8"
"ADAM22","1.353","1.702e-8"
"ZIC2","1.236","1.917e-8"
"GRIK2","0.9842","1.952e-8"
"MEIS2","1.527","1.966e-8"
"NRN1","1.273","1.966e-8"
"ASIC2","-2.253","2.005e-8"
"PDZRN3","-2.175","2.057e-8"
"DLGAP1","-1.240","2.183e-8"
"KCNQ3","-2.137","2.464e-8"
"FAM19A2","-2.179","2.678e-8"
"REEP3","1.585","2.701e-8"
"PAG1","1.519","2.701e-8"
"KCNIP4","1.205","3.037e-8"
"ANKRD30BL","-2.144","3.649e-8"
"RPL15","1.375","3.700e-8"
"WAC","1.491","3.859e-8"
"CAMK2D","1.283","3.859e-8"
"KIAA1217","-2.215","4.250e-8"
"TUBA1A","1.342","4.299e-8"
"DPP10","-2.299","4.396e-8"
"PCDH7","-2.129","4.814e-8"
"TSPAN5","1.230","5.538e-8"
"CHRM3","-1.983","7.423e-8"
"PTPRO","-2.068","7.811e-8"
"PTPRN2","-1.929","8.028e-8"
"UCHL1","-1.961","8.264e-8"
"FLRT2","-2.071","9.725e-8"
"EIF4A2","1.277","1.004e-7"
"TUBA1B","1.222","1.029e-7"
"LRFN5","-1.856","1.163e-7"
"SRGAP2","1.393","1.291e-7"
"TENM4","-2.090","1.459e-7"
"SLIT2","-2.042","1.997e-7"
"PCDH9","-1.285","2.075e-7"
"Z83001.1","1.248","2.381e-7"
"ALS2","1.519","2.410e-7"
"PCDH15","-2.086","2.581e-7"
"RUNX1T1","1.165","3.262e-7"
"ADGRB3","0.7992","3.365e-7"
"TMEM132D","-2.006","3.627e-7"
"CAMKK2","1.441","3.627e-7"
"LARGE","-1.790","3.662e-7"
"RASAL2","-1.899","3.828e-7"
"IL1RAPL1","-1.138","3.982e-7"
"PIGN","1.502","4.319e-7"
"SEMA6A-AS1","1.205","4.503e-7"
"CPVL","1.202","4.503e-7"
"RBMS3","-2.264","5.238e-7"
"NR3C1","1.369","5.238e-7"
"RCN1","1.422","5.290e-7"
"GRM1","1.303","5.909e-7"
"ENOX1","-1.779","6.771e-7"
"RPL13A","1.328","6.915e-7"
"SPTBN4","-1.870","7.163e-7"
"KCNK1","1.433","7.284e-7"
"SLC35F1","-1.911","9.831e-7"
"DCC","-2.023","9.832e-7"
"FAM13A","1.365","0.000001122"
"USP3","1.376","0.000001387"
"GRID2","1.128","0.000001439"
"QKI","-1.588","0.000001461"
"SYNE1","1.034","0.000001546"
"TCEAL8","1.400","0.000001572"
"PTPRT","-2.044","0.000001647"
"THSD7A","-1.984","0.000001744"
"FOXN2","1.386","0.000001803"
"PPDPF","1.379","0.000002263"
"SESN1","1.355","0.000002317"
"ELMO2","1.263","0.000002318"
"LRCH1","1.374","0.000002409"
"RPL21","1.350","0.000002544"
"PDE4D","-1.539","0.000002546"
"PHACTR1","-1.505","0.000002549"
"RGS6","-1.909","0.000002831"
"RPL13","1.188","0.000002831"
"CDH9","-1.919","0.000002835"
"ADCY2","-1.829","0.000002903"
"KCNB2","-1.911","0.000002931"
"MIR99AHG","1.077","0.000003147"
"RP11-116O11.1","1.329","0.000003157"
"SEMA6D","-1.878","0.000003483"
"SLC24A2","-1.739","0.000003492"
"FOXN3","1.188","0.000003920"
"L3MBTL4","-1.875","0.000004079"
"NEGR1","0.9408","0.000004499"
"RNF144A","1.298","0.000004862"
"MORF4L1","1.278","0.000004952"
"DCLK1","-1.523","0.000005354"
"PPP2R2B","-1.417","0.000005356"
"DSCAML1","-1.811","0.000005458"
"DLEU2","1.334","0.000005577"
"MED13L","1.102","0.000005635"
"CACNA1C","-1.599","0.000005759"
"ZMAT4","-1.800","0.000005873"
"PTPRM","-1.906","0.000007349"
"TUBB2A","1.299","0.000007780"
"RP11-197K3.1","1.212","0.000008353"
"AC074363.1","-1.625","0.000009788"
"CALM1","0.9933","0.00001045"
"SLC44A5","-1.680","0.00001097"
"SNRPN","-1.860","0.00001144"
"SHANK2","-1.745","0.00001148"
"CRYM","1.242","0.00001210"
"MTCL1","1.310","0.00001259"
"SCN1B","1.158","0.00001324"
"SEPW1","1.124","0.00001416"
"SRGAP2C","1.313","0.00001463"
"ANO4","-1.806","0.00001553"
"RAB11A","1.210","0.00001831"
"PCDH11X","-1.847","0.00001958"
"PTMS","1.320","0.00001975"
"TMEM178B","-1.558","0.00002343"
"LINC01122","-1.741","0.00002420"
"SDK1","-1.895","0.00002455"
"LINGO2","-1.415","0.00002465"
"GRIN2C","1.231","0.00002468"
"SV2B","1.038","0.00002886"
"ADRBK2","-1.718","0.00002904"
"NAA38","1.313","0.00003153"
"NDUFA4","1.164","0.00003275"
"RPS6KA2","-1.662","0.00003276"
"GRIA3","-1.818","0.00003437"
"TMEM108","-1.555","0.00003440"
"SSBP2","1.026","0.00003685"
"CHL1","-1.585","0.00003738"
"MCU","1.281","0.00004002"
"ROBO1","-1.619","0.00004183"
"TTTY14","1.088","0.00004240"
"RPL11","1.236","0.00004282"
"KCNT2","-1.689","0.00004434"
"PCCA","1.211","0.00004566"
"ERC2","-1.361","0.00004975"
"PID1","-1.671","0.00005217"
"SYT9","1.161","0.00005387"
"PPA1","1.288","0.00005647"
"MRPL41","-1.661","0.00005880"
"HMGCLL1","1.253","0.00005900"
"RP11-268G12.3","0.8851","0.00006039"
"MT-ND2","0.9711","0.00006748"
"ADAMTS9-AS2","-1.649","0.00007449"
"VSTM2A","-1.677","0.00007523"
"CNBP","1.246","0.00007865"
"HNRNPA0","1.152","0.00008007"
"TMEM232","-1.627","0.00008654"
"ST7-AS2","0.8540","0.00008654"
"CALN1","0.9855","0.00008897"
"CDON","1.182","0.00008938"
"ZNF385B","0.9790","0.00009115"
"PTEN","1.173","0.00009521"
"TENM3","-1.505","0.00009659"
"PNMA3","-1.550","0.00009907"
"LDLRAD4","1.096","0.0001046"
"TMEM163","1.145","0.0001060"
"ARHGAP32","-1.617","0.0001083"
"LINGO1","-1.253","0.0001144"
"RP11-525K10.3","0.9941","0.0001246"
"RORA","0.8388","0.0001262"
"AP000462.2","1.034","0.0001267"
"ZNF804B","-1.642","0.0001320"
"DAPK1","-1.548","0.0001322"
"CCDC88A","-1.319","0.0001345"
"RPS7","1.201","0.0001345"
"AC018890.6","1.128","0.0001389"
"PGM5","0.9201","0.0001389"
"PCDH11Y","-1.593","0.0001424"
"GPR158","1.049","0.0001465"
"PTMA","1.027","0.0001503"
"LDLRAD3","1.126","0.0001536"
"BRINP3","1.092","0.0001536"
"SKP1","1.145","0.0001586"
"CACNA1B","-1.178","0.0001602"
"CECR2","1.184","0.0001605"
"TRHDE","1.019","0.0001648"
"HN1","1.136","0.0001697"
"CDH8","-1.618","0.0001772"
"PEX5L","-1.445","0.0001772"
"SH3KBP1","-1.489","0.0001779"
"AGT","1.124","0.0001793"
"CACNG8","-1.479","0.0001866"
"DCLRE1C","1.055","0.0001882"
"SGCD","-1.549","0.0001991"
"PEG10","1.095","0.0002003"
"MIR325HG","-1.583","0.0002010"
"CSRNP3","-1.356","0.0002010"
"PDE8B","-1.573","0.0002042"
"EPB41L5","1.186","0.0002204"
"SHROOM3","1.042","0.0002232"
"KIRREL3","-1.447","0.0002252"
"FGGY","1.187","0.0002323"
"KCNB1","-1.459","0.0002410"
"BCL6","1.066","0.0002471"
"RPL18","1.095","0.0002474"
"LDLRAP1","0.8168","0.0002512"
"CDH7","1.098","0.0002789"
"GABARAPL2","1.132","0.0002863"
"GRIA4","0.8937","0.0002870"
"RNF43","0.8396","0.0002911"
"FAM63B","1.146","0.0003094"
"ANKRD28","1.107","0.0003102"
"MAP6D1","0.8946","0.0003158"
"FHIT","-1.491","0.0003203"
"RP11-242P2.2","0.9849","0.0003210"
"NPM1","1.059","0.0003224"
"ABCD2","1.161","0.0003247"
"FRAS1","-1.485","0.0003266"
"RPS14","1.109","0.0003400"
"GABRD","1.122","0.0003420"
"RP11-203B9.4","1.009","0.0003439"
"ABLIM1","0.9538","0.0003506"
"CORO6","-1.423","0.0003559"
"MBNL2","1.017","0.0003630"
"CACNA2D3","-1.344","0.0004002"
"LINC00907","1.094","0.0004064"
"CFL1","1.018","0.0004082"
"TMEM132B","-1.415","0.0004158"
"PSMA1","1.056","0.0004208"
"GALNT7","1.147","0.0004246"
"MICAL2","1.113","0.0004287"
"ARL5A","1.158","0.0004468"
"ASPH","1.074","0.0004469"
"MT-ND3","0.9786","0.0004793"
"LRRC4C","-1.155","0.0004855"
"LDB2","-1.471","0.0005029"
"CHD5","-1.460","0.0005085"
"NR2C1","1.118","0.0005092"
"TUBB","1.084","0.0005153"
"AKT3","0.8341","0.0005153"
"MAP1B","0.8660","0.0005213"
"SLC6A1","-1.665","0.0005404"
"MRPL19","1.147","0.0005412"
"DGKG","1.047","0.0005577"
"GRIN1","-1.163","0.0005732"
"PTPN4","1.067","0.0005959"
"CREBL2","0.7647","0.0005979"
"PTGR1","1.162","0.0006022"
"MIR137HG","-1.407","0.0006062"
"KCNAB1","-1.370","0.0006062"
"ESRRG","-1.438","0.0006281"
"CNTN3","-1.355","0.0006532"
"PRKG1","-1.438","0.0006536"
"EIF1","0.9477","0.0006720"
"DAB1","-0.9902","0.0006981"
"HIST1H4C","0.8248","0.0006981"
"LDHB","1.102","0.0007278"
"RP11-69L16.4","0.8265","0.0007360"
"CTBP2","1.063","0.0007455"
"AHI1","-1.049","0.0007948"
"LUZP2","-1.404","0.0008100"
"CLU","0.8921","0.0008110"
"CA4","1.021","0.0008208"
"TPRG1L","0.9998","0.0008208"
"THSD4-AS1","1.087","0.0008239"
"PRKD1","-1.423","0.0008284"
"RP11-444D3.1","-1.338","0.0008379"
"BRK1","1.071","0.0008379"
"CAMKV","-1.343","0.0008744"
"SUMO1","1.080","0.0008915"
"DPF3","1.100","0.0008998"
"ARHGAP26-AS1","0.8930","0.0009047"
"HS3ST1","0.9735","0.0009087"
